AO,mnchn
2007_AO026,0.6591571752156046
2012_AO0017,0.6130121900542396
2014_AO0039,0.5985615171542312
2012_AO0003,0.5929224201144783
2014_AO0003,0.5916815929614652
2013_AO0015,0.5901081701445392
2016_AO0036,0.5881536848595679
2014_AO0035,0.5834547928501301
2000_AO079,0.5617777801815298
1996_AO005,0.555752770865311
2002_AO081,0.5472845508891627
2007_AO028,0.5436363538944132
1998_AO013,0.5389453322800679
2000_AO001A,0.5384442269627406
2010_AO010,0.5368278308513084
1992_AO125,0.5315936406359693
1996_AO002C,0.5276610070164006
1999_AO015,0.5274569601517181
1999_AO004,0.5225515945720769
1996_AO027,0.5213310178040141
2004_AO133,0.5192013823783908
1999_AO020G,0.5184072306411664
2008_AO026,0.5148241497405085
2001_AO010A,0.513263075042139
