AO,specpop
1993_AO014,0.05797101449275362
1974_AO204,0.05797101449275362
1972_AO173,0.05705791996487534
1982_AO027,0.05649008446681405
1973_AO202,0.055719858829407866
1988_AO038,0.05460395206983366
1987_AO028A,0.05289430156332044
1987_AO019,0.05261037992654654
2005_AO026,0.05093000880213129
2004_AO151,0.050926919147715174
2001_AO067,0.05086741573650337
1983_AO062,0.050697216922936404
1985_AO136B,0.04958624653062682
1975_AO241,0.04936897753058206
1982_AO022,0.049367187780315604
1981_AO118,0.0493427887998798
1978_AO343,0.04915083545315696
1985_AO106B,0.04904182598619018
1988_AO044,0.048992644826663885
1988_AO043,0.048978834435188974
1990_AO093,0.04895936004641002
1980_AO089,0.04890748987010143
2003_AO085,0.04889988956884891
1970_AO137,0.048896476642274
1984_AO104A,0.0488451449853814
1985_AO123A,0.04880729111254384
1985_AO107,0.04872536241565936
1971_AO161,0.048687465878104436
2000_AO032,0.048652855334614414
1981_AO120,0.04862832124228912
1980_AO090A,0.04857490771567138
1975_AO250,0.0482233249002375
1987_AO016,0.048221532069278455
1979_AO054,0.04813274797409886
2004_AO180,0.04810359431290048
2006_AO034C,0.04792488995461246
1980_AO070,0.04779374247981955
2000_AO011,0.04773990791970782
2004_AO139,0.047676252615095095
1972_AO178,0.047644053634310776
1977_AO327,0.047628888707692434
2002_AO106,0.04756647512413234
1993_AO017,0.047517815617984446
1999_AO025,0.0474778924422256
1985_AO136A,0.047403593866101074
1980_AO079,0.04734424062658196
1974_AO213,0.04725740896059199
1979_AO051,0.04723160234085848
1986_AO011,0.04715280950289982
1975_AO258,0.04707456238631522
1999_AO050,0.04701011886643221
1983_AO074A,0.046981714890252255
1981_AO123,0.046901471826316266
1982_AO031,0.04688585974641566
