AO,adolescent,FLAG
2000_AO043,0.6672149929,1
1999_AO024A,0.6466188491,1
2013_AO0013,0.5849582819,1
2000_AO034A,0.5708444798,1
1998_AO001A,0.5361404289,1
2006_AO035,0.516603038,1
2013_AO0011,0.4448199014,1
2000_AO138A,0.4409659926,1
1994_AO031F,0.4303170525,1
2016_AO0005,0.4243296638,1
1970_AO114,0.422758305,1
2006_AO016,0.4215722401,1
2001_AO050A,0.3938730796,1
2000_AO144,0.379277802,1
2009_AO006,0.3789157267,1
1998_AO012,0.3703185421,1
1997_AO001B,0.3664343204,1
1970_AO116,0.3566374102,1
2008_AO011,0.334709847,1
2007_AO007,0.3160541574,1
1979_AO032,0.3133837234,1
2014_AO0031,0.3094171853,0.5
2008_AO022,0.3083079787,0.5
2014_AO0002,0.3060671598,0.5
1970_AO115,0.3043298515,0.5
2014_AO0005,0.3021448096,0.5
2007_AO010,0.3002166214,0.5
2003_AO101,0.2916078655,0.5
2017_AO0005,0.2853244504,0.5
2010_AO027,0.2500787311,0.5
2004_AO176,0.2476500774,0.5
1998_AO004,0.2475386539,0.5
2000_AO045B,0.221788451,#N/A
2005_AO027A,0.2081149007,#N/A
1997_AO009B,0.2043676477,#N/A
2014_AO0043,0.2030166376,#N/A
2009_AO016,0.1989281305,0
1980_AO090B,0.1980773978,0.5
2001_AO049,0.1918895485,#N/A
2012_AO0009,0.1873243951,#N/A
2001_AO008,0.1862264323,1
2015_AO039,0.1760775861,#N/A
2010_AO028,0.1748773886,#N/A
2015_AO0029,0.174171879,#N/A
2011_AO0005,0.172933978,#N/A
1980_AO076,0.1712826726,#N/A
2004_AO154,0.170189707,#N/A
2015_AO032,0.1697636858,#N/A
2000_AO004,0.1690197905,#N/A
2015_AO054,0.16843255,0.5
2001_AO009,0.1665885088,#N/A
1999_AO029,0.1660302045,#N/A
2016_AO0041,0.1658200233,#N/A
2004_AO158,0.165131634,#N/A
1996_AO014A,0.1633874118,#N/A
2011_AO0008,0.1625398577,#N/A
1995_AO007C,0.1620589658,#N/A
1996_AO024,0.1618377683,#N/A
2007_AO009,0.1612638511,0.5
2004_AO185,0.1599104881,#N/A
1998A_AO028,0.1593414417,#N/A
2015_AO0006,0.1587378114,#N/A
2013_AO0001,0.1575813147,#N/A
2010_AO031,0.1573108284,#N/A
1995_AO016B,0.1571411503,#N/A
2007_AO009A,0.156714251,#N/A
2009_AO003,0.1566035517,#N/A
1997_AO024A,0.156464509,#N/A
2017_AO0002,0.1563330641,#N/A
2002_AO153,0.1561829985,#N/A
2010_AO015,0.1557402332,#N/A
1989_AO057A,0.1553553911,#N/A
1990_AO095,0.154687676,#N/A
2003_AO122,0.1543099113,#N/A
2000_AO019,0.1543000395,#N/A
1980_AO105A,0.153546308,#N/A
2014_AO0042,0.1529252132,#N/A
2014_AO0007,0.1527888309,#N/A
1997_AO016A,0.1523591691,#N/A
2000_AO024,0.1522983945,#N/A
2004_AO178,0.1521146437,#N/A
2009_AO018,0.151668873,#N/A
2006_AO020,0.1515768465,#N/A
2014_AO0032,0.1515469323,#N/A
2000_AO002,0.1514389691,#N/A
2000_AO150,0.1510219957,#N/A
2012_AO0005,0.1504062488,#N/A
2004_AO168,0.1490083174,#N/A
2007_AO037,0.1489051015,#N/A
2016_AO0007,0.1486173061,#N/A
1994_AO037,0.1469638846,#N/A
2007_AO038,0.1468329348,#N/A
2003_AO005A,0.1467084242,#N/A
1999_AO020A,0.1464764739,#N/A
2008_AO020,0.1464526547,#N/A
1993_AO012,0.1458510043,#N/A
2009_AO006A,0.1454889502,#N/A
1980_AO077,0.1453194108,#N/A
2002_AO073,0.1452558352,#N/A
2001_AO058,0.1450959244,#N/A
